Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-07-29,South Africa,ZAF,471123,11362,7497,240,Community transmission,0
2020-07-29,Nigeria,NGA,42208,404,873,5,Community transmission,0
2020-07-29,Ghana,GHA,35142,736,175,7,Community transmission,0
2020-07-29,Algeria,DZA,29229,614,1186,12,Community transmission,0
2020-07-29,Kenya,KEN,19125,544,311,12,Community transmission,0
2020-07-29,Cameroon,CMR,17255,76,391,0,Community transmission,0
2020-07-29,Ethiopia,ETH,15810,610,253,14,Community transmission,0
2020-07-29,Cote d'Ivoire,CIV,15713,0,98,0,Community transmission,1
2020-07-29,Madagascar,MDG,10317,213,99,6,Community transmission,0
2020-07-29,Senegal,SEN,9961,156,200,2,Community transmission,0
2020-07-29,Democratic Republic of the Congo,COD,8930,58,212,5,Community transmission,0
2020-07-29,Gabon,GAB,7352,163,49,0,Community transmission,0
2020-07-29,Guinea,GIN,7183,57,46,0,Community transmission,0
2020-07-29,Mauritania,MRT,6270,21,156,0,Community transmission,0
2020-07-29,Zambia,ZMB,5249,247,146,4,Community transmission,0
2020-07-29,Central African Republic,CAF,4605,6,59,0,Community transmission,0
2020-07-29,Malawi,MWI,3858,120,107,4,Community transmission,0
2020-07-29,Congo,COG,3200,0,54,0,Community transmission,1
2020-07-29,Zimbabwe,ZWE,2879,62,41,1,Clusters of cases,0
2020-07-29,Eswatini,SWZ,2551,147,40,1,Community transmission,0
2020-07-29,Mali,MLI,2521,1,124,0,Community transmission,0
2020-07-29,Cabo Verde,CPV,2373,19,23,1,Clusters of cases,0
2020-07-29,Equatorial Guinea,GNQ,2350,0,41,0,Community transmission,13
2020-07-29,South Sudan,SSD,2322,0,46,0,Community transmission,1
2020-07-29,Namibia,NAM,1986,69,9,1,Clusters of cases,0
2020-07-29,Guinea-Bissau,GNB,1981,27,26,0,Community transmission,0
2020-07-29,Rwanda,RWA,1963,37,5,0,Clusters of cases,0
2020-07-29,Benin,BEN,1805,0,36,0,Community transmission,1
2020-07-29,Sierra Leone,SLE,1803,17,67,1,Community transmission,0
2020-07-29,Mozambique,MOZ,1748,28,11,0,Community transmission,0
2020-07-29,Liberia,LBR,1179,12,72,0,Community transmission,0
2020-07-29,Uganda,UGA,1135,0,2,0,Clusters of cases,1
2020-07-29,Niger,NER,1134,2,69,0,Community transmission,0
2020-07-29,Burkina Faso,BFA,1106,1,53,0,Community transmission,0
2020-07-29,Angola,AGO,1078,78,48,1,Clusters of cases,0
2020-07-29,Chad,TCD,926,0,75,0,Community transmission,1
2020-07-29,Togo,TGO,896,22,18,0,Community transmission,0
2020-07-29,Sao Tome and Principe,STP,868,1,15,1,Clusters of cases,0
2020-07-29,Botswana,BWA,804,65,2,0,Clusters of cases,0
2020-07-29,Lesotho,LSO,576,71,13,1,Clusters of cases,0
2020-07-29,United Republic of Tanzania,TZA,509,0,21,0,Community transmission,83
2020-07-29,Burundi,BDI,378,0,1,0,Clusters of cases,2
2020-07-29,Comoros,COM,378,0,7,0,Community transmission,1
2020-07-29,Mauritius,MUS,344,0,10,0,Sporadic cases,5
2020-07-29,Gambia,GMB,326,0,8,0,Sporadic cases,2
2020-07-29,Eritrea,ERI,265,0,0,0,Sporadic cases,2
2020-07-29,Seychelles,SYC,114,0,0,0,Sporadic cases,2
2020-07-29,Mayotte,MYT,2905,0,39,0,Clusters of cases,1
2020-07-29,Reunion,REU,657,0,4,0,Clusters of cases,4
2020-07-29,United States of America,USA,4323160,59629,148640,1191,Community transmission,0
2020-07-29,Brazil,BRA,2483191,40816,88539,921,Community transmission,0
2020-07-29,Mexico,MEX,402697,7208,44876,854,Community transmission,0
2020-07-29,Peru,PER,395005,5288,18612,194,Community transmission,0
2020-07-29,Chile,CHL,351575,1775,9278,38,Community transmission,0
2020-07-29,Colombia,COL,267385,10284,9074,297,Community transmission,0
2020-07-29,Argentina,ARG,173355,5939,3200,118,Community transmission,0
2020-07-29,Canada,CAN,114994,397,8912,11,Community transmission,0
2020-07-29,Ecuador,ECU,83193,914,5623,39,Community transmission,0
2020-07-29,Bolivia (Plurinational State of),BOL,72327,1146,2720,73,Community transmission,0
2020-07-29,Dominican Republic,DOM,66182,1492,1123,22,Community transmission,0
2020-07-29,Panama,PAN,62223,781,1349,27,Community transmission,0
2020-07-29,Guatemala,GTM,47605,1154,1835,53,Community transmission,0
2020-07-29,Honduras,HND,40460,719,1214,48,Community transmission,0
2020-07-29,Venezuela (Bolivarian Republic of),VEN,16571,583,151,5,Community transmission,0
2020-07-29,Costa Rica,CRI,16344,503,125,10,Community transmission,0
2020-07-29,El Salvador,SLV,15841,395,430,13,Community transmission,0
2020-07-29,Haiti,HTI,7371,31,158,0,Community transmission,0
2020-07-29,Paraguay,PRY,4674,126,45,2,Community transmission,0
2020-07-29,Nicaragua,NIC,3080,0,116,0,Community transmission,1
2020-07-29,Cuba,CUB,2588,33,87,0,Clusters of cases,0
2020-07-29,Suriname,SUR,1510,27,24,0,Clusters of cases,0
2020-07-29,Uruguay,URY,1218,16,35,0,Clusters of cases,0
