Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-04-28,China,CHN,84369,22,4643,0,Clusters of cases,0
2020-04-28,Singapore,SGP,15222,799,14,0,Clusters of cases,0
2020-04-28,Japan,JPN,13852,276,389,13,Clusters of cases,0
2020-04-28,Republic of Korea,KOR,10761,9,246,2,Clusters of cases,0
2020-04-28,Philippines,PHL,7958,181,530,19,Clusters of cases,0
2020-04-28,Australia,AUS,6738,13,88,4,Clusters of cases,0
2020-04-28,Malaysia,MYS,5851,31,100,1,Clusters of cases,0
2020-04-28,New Zealand,NZL,1126,2,19,0,Clusters of cases,0
2020-04-28,Viet Nam,VNM,270,0,0,0,Clusters of cases,4
2020-04-28,Brunei Darussalam,BRN,138,0,1,0,Sporadic cases,9
2020-04-28,Cambodia,KHM,122,0,0,0,Sporadic cases,17
2020-04-28,Mongolia,MNG,38,0,0,0,Sporadic cases,2
2020-04-28,Lao People's Democratic Republic,LAO,19,0,0,0,Sporadic cases,16
2020-04-28,Fiji,FJI,18,0,0,0,Sporadic cases,8
2020-04-28,Papua New Guinea,PNG,8,0,0,0,Sporadic cases,6
2020-04-28,Guam,GUM,140,2,5,0,Clusters of cases,0
2020-04-28,French Polynesia,PYF,58,0,0,0,Sporadic cases,1
2020-04-28,New Caledonia,NCL,18,0,0,0,Sporadic cases,26
2020-04-28,Northern Mariana Islands (Commonwealth of the),MNP,14,0,2,0,Pending,11
2020-04-28,Spain,ESP,210773,1308,23822,632,Pending,0
2020-04-28,Italy,ITA,201505,2091,27359,382,Community transmission,0
2020-04-28,The United Kingdom,GBR,161149,3996,21678,586,Community transmission,0
2020-04-28,Germany,DEU,157641,1304,6115,202,Community transmission,0
2020-04-28,France,FRA,125464,0,23627,366,Community transmission,0
2020-04-28,Turkey,TUR,114653,2392,2992,92,Community transmission,0
2020-04-28,Russian Federation,RUS,99399,5841,972,105,Clusters of cases,0
2020-04-28,Belgium,BEL,47334,647,7331,124,Community transmission,0
2020-04-28,Netherlands,NLD,38416,171,4566,48,Community transmission,0
2020-04-28,Switzerland,CHE,29181,100,1379,27,Community transmission,0
2020-04-28,Portugal,PRT,24322,295,948,20,Community transmission,0
2020-04-28,Ireland,IRL,19877,229,1159,57,Community transmission,0
2020-04-28,Sweden,SWE,19621,695,2355,81,Community transmission,0
2020-04-28,Israel,ISR,15782,316,212,10,Pending,0
2020-04-28,Austria,AUT,15314,58,569,20,Community transmission,0
2020-04-28,Poland,POL,12218,316,596,34,Community transmission,0
2020-04-28,Belarus,BLR,12208,0,79,0,Clusters of cases,1
2020-04-28,Romania,ROU,11616,277,650,19,Community transmission,0
2020-04-28,Ukraine,UKR,9866,456,250,11,Community transmission,0
2020-04-28,Denmark,DNK,8851,153,434,7,Pending,0
2020-04-28,Serbia,SRB,8497,222,168,6,Pending,0
2020-04-28,Norway,NOR,7605,72,195,2,Pending,0
2020-04-28,Czechia,CZE,7504,55,227,4,Community transmission,0
