Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-06-16,South Africa,ZAF,76334,2801,1625,57,Community transmission,0
2020-06-16,Nigeria,NGA,17148,490,424,0,Community transmission,0
2020-06-16,Ghana,GHA,12193,229,58,4,Community transmission,0
2020-06-16,Algeria,DZA,11147,116,788,11,Community transmission,0
2020-06-16,Cameroon,CMR,9864,0,276,0,Community transmission,1
2020-06-16,Cote d'Ivoire,CIV,5679,595,46,1,Community transmission,0
2020-06-16,Senegal,SEN,5247,157,70,10,Community transmission,0
2020-06-16,Democratic Republic of the Congo,COD,4973,196,111,5,Community transmission,0
2020-06-16,Guinea,GIN,4639,67,26,0,Community transmission,0
2020-06-16,Gabon,GAB,4114,81,29,2,Community transmission,0
2020-06-16,Kenya,KEN,3860,133,105,1,Community transmission,0
2020-06-16,Ethiopia,ETH,3630,109,61,1,Community transmission,0
2020-06-16,Central African Republic,CAF,2410,188,14,7,Community transmission,0
2020-06-16,Mauritania,MRT,1887,104,91,4,Clusters of cases,0
2020-06-16,Mali,MLI,1885,25,106,2,Community transmission,0
2020-06-16,South Sudan,SSD,1776,21,30,0,Clusters of cases,0
2020-06-16,Guinea-Bissau,GNB,1492,32,15,0,Community transmission,0
2020-06-16,Zambia,ZMB,1405,23,11,0,Community transmission,0
2020-06-16,Madagascar,MDG,1317,27,12,2,Clusters of cases,0
2020-06-16,Sierra Leone,SLE,1225,49,51,0,Community transmission,0
2020-06-16,Equatorial Guinea,GNQ,1043,0,12,0,Community transmission,24
2020-06-16,Niger,NER,1016,36,66,0,Community transmission,0
2020-06-16,Burkina Faso,BFA,895,1,53,0,Community transmission,0
2020-06-16,Congo,COG,883,0,27,0,Community transmission,1
2020-06-16,Chad,TCD,853,3,74,1,Community transmission,0
2020-06-16,Uganda,UGA,823,0,0,0,Sporadic cases,3
2020-06-16,Cabo Verde,CPV,781,21,7,0,Clusters of cases,0
2020-06-16,Mozambique,MOZ,638,29,4,1,Clusters of cases,0
2020-06-16,Rwanda,RWA,636,24,2,0,Sporadic cases,0
2020-06-16,Malawi,MWI,564,8,6,0,Clusters of cases,0
2020-06-16,Togo,TGO,537,6,13,0,Community transmission,0
2020-06-16,Benin,BEN,532,49,9,0,Community transmission,0
2020-06-16,Eswatini,SWZ,520,14,4,0,Clusters of cases,0
2020-06-16,Liberia,LBR,509,11,33,0,Community transmission,0
2020-06-16,United Republic of Tanzania,TZA,509,0,21,0,Community transmission,40
2020-06-16,Sao Tome and Principe,STP,398,10,10,0,Clusters of cases,0
2020-06-16,Zimbabwe,ZWE,391,4,4,0,Sporadic cases,0
2020-06-16,Mauritius,MUS,337,0,10,0,Clusters of cases,11
2020-06-16,Comoros,COM,197,21,3,1,Community transmission,0
2020-06-16,Angola,AGO,142,0,6,0,Clusters of cases,1
2020-06-16,Eritrea,ERI,121,12,0,0,Sporadic cases,0
