Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-07-14,South Africa,ZAF,298292,10496,4346,174,Community transmission,0
2020-07-14,Nigeria,NGA,33616,463,754,10,Community transmission,0
2020-07-14,Ghana,GHA,24988,0,139,0,Community transmission,1
2020-07-14,Algeria,DZA,20216,527,1028,10,Community transmission,0
2020-07-14,Cameroon,CMR,15173,0,359,0,Community transmission,2
2020-07-14,Cote d'Ivoire,CIV,13037,165,87,3,Community transmission,0
2020-07-14,Kenya,KEN,10791,497,202,5,Community transmission,0
2020-07-14,Senegal,SEN,8243,45,150,0,Community transmission,0
2020-07-14,Ethiopia,ETH,8181,212,146,7,Community transmission,0
2020-07-14,Democratic Republic of the Congo,COD,8134,60,189,0,Community transmission,0
2020-07-14,Guinea,GIN,6200,30,38,0,Community transmission,0
2020-07-14,Gabon,GAB,5942,0,46,0,Community transmission,4
2020-07-14,Mauritania,MRT,5446,91,149,2,Clusters of cases,0
2020-07-14,Madagascar,MDG,5343,263,39,2,Clusters of cases,0
2020-07-14,Central African Republic,CAF,4321,0,53,0,Community transmission,1
2020-07-14,Malawi,MWI,2497,67,40,1,Clusters of cases,0
2020-07-14,Mali,MLI,2423,11,121,0,Community transmission,0
2020-07-14,Congo,COG,2358,136,48,1,Community transmission,0
2020-07-14,Zambia,ZMB,2283,0,82,0,Community transmission,1
2020-07-14,South Sudan,SSD,2153,5,41,0,Clusters of cases,0
2020-07-14,Guinea-Bissau,GNB,1902,0,26,0,Community transmission,1
2020-07-14,Cabo Verde,CPV,1780,58,19,0,Clusters of cases,0
2020-07-14,Sierra Leone,SLE,1651,9,64,1,Community transmission,0
2020-07-14,Benin,BEN,1463,85,28,2,Community transmission,0
2020-07-14,Eswatini,SWZ,1434,45,20,0,Clusters of cases,0
2020-07-14,Rwanda,RWA,1416,38,4,0,Sporadic cases,0
2020-07-14,Mozambique,MOZ,1268,49,9,0,Clusters of cases,0
2020-07-14,Niger,NER,1099,0,68,0,Community transmission,4
2020-07-14,Zimbabwe,ZWE,1064,30,20,1,Sporadic cases,0
2020-07-14,Equatorial Guinea,GNQ,1043,0,12,0,Community transmission,52
2020-07-14,Uganda,UGA,1040,11,0,0,Sporadic cases,0
2020-07-14,Liberia,LBR,1038,14,51,0,Community transmission,0
2020-07-14,Burkina Faso,BFA,1037,1,53,0,Community transmission,0
2020-07-14,Chad,TCD,884,4,75,0,Community transmission,0
2020-07-14,Namibia,NAM,864,3,2,1,Sporadic cases,0
2020-07-14,Togo,TGO,731,11,15,0,Community transmission,0
2020-07-14,Angola,AGO,541,16,26,0,Clusters of cases,0
