ate,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-07-30,Philippines,PHL,89374,3888,1983,21,Community transmission,0
2020-07-30,China,CHN,87956,276,4666,1,Clusters of cases,0
2020-07-30,Singapore,SGP,51809,278,27,0,Clusters of cases,0
2020-07-30,Japan,JPN,34372,1323,1006,2,Clusters of cases,0
2020-07-30,Australia,AUS,16303,721,189,13,Clusters of cases,0
2020-07-30,Republic of Korea,KOR,14305,36,301,1,Clusters of cases,0
2020-07-30,Malaysia,MYS,8964,8,124,0,Clusters of cases,0
2020-07-30,New Zealand,NZL,1210,0,22,0,Clusters of cases,1
2020-07-30,Viet Nam,VNM,509,50,0,0,Clusters of cases,0
2020-07-30,Mongolia,MNG,291,0,0,0,Sporadic cases,1
2020-07-30,Cambodia,KHM,234,0,0,0,Sporadic cases,1
2020-07-30,Brunei Darussalam,BRN,141,0,3,0,No cases,84
2020-07-30,Papua New Guinea,PNG,63,0,2,1,Sporadic cases,2
2020-07-30,Fiji,FJI,27,0,0,0,Sporadic cases,10
2020-07-30,Lao People's Democratic Republic,LAO,20,0,0,0,Sporadic cases,6
2020-07-30,Guam,GUM,348,2,5,0,Clusters of cases,0
2020-07-30,French Polynesia,PYF,62,0,0,0,Sporadic cases,33
2020-07-30,Northern Mariana Islands (Commonwealth of the),MNP,42,2,2,0,Pending,0
2020-07-30,New Caledonia,NCL,22,0,0,0,Sporadic cases,16
2020-07-30,International conveyance (Diamond Princess),---,741,0,13,0,Not applicable,137
2020-07-30,Grand total,WLD,17106007,292527,668910,6812,n/a,0
