Date,Country,ISO-3166 code,Confirmed cases,New cases,Deaths,New deaths,Transmission type,Days since last case
2020-05-19,South Africa,ZAF,17200,767,312,26,Community transmission,0
2020-05-19,Algeria,DZA,7377,176,561,6,Community transmission,0
2020-05-19,Nigeria,NGA,6401,226,192,1,Community transmission,0
2020-05-19,Ghana,GHA,6096,361,31,2,Community transmission,0
2020-05-19,Cameroon,CMR,3529,0,140,0,Community transmission,1
2020-05-19,Guinea,GIN,2863,67,18,2,Community transmission,0
2020-05-19,Senegal,SEN,2617,73,30,4,Community transmission,0
2020-05-19,Cote d'Ivoire,CIV,2153,34,28,0,Community transmission,0
2020-05-19,Democratic Republic of the Congo,COD,1730,193,60,0,Community transmission,0
2020-05-19,Gabon,GAB,1502,70,12,1,Community transmission,0
2020-05-19,Guinea-Bissau,GNB,1038,0,6,0,Community transmission,1
2020-05-19,Kenya,KEN,963,51,50,0,Community transmission,0
2020-05-19,Niger,NER,914,5,55,0,Community transmission,0
2020-05-19,Mali,MLI,901,27,53,1,Community transmission,0
2020-05-19,Equatorial Guinea,GNQ,890,65,7,0,Community transmission,0
2020-05-19,Burkina Faso,BFA,806,10,52,1,Community transmission,0
2020-05-19,Zambia,ZMB,772,11,7,0,Community transmission,0
2020-05-19,Chad,TCD,545,26,56,2,Community transmission,0
2020-05-19,Sierra Leone,SLE,534,15,33,0,Clusters of cases,0
2020-05-19,United Republic of Tanzania,TZA,509,0,21,0,Community transmission,12
2020-05-19,Congo,COG,420,6,15,0,Community transmission,0
2020-05-19,Central African Republic,CAF,411,75,0,0,Sporadic cases,0
2020-05-19,Ethiopia,ETH,365,13,5,0,Clusters of cases,0
2020-05-19,Togo,TGO,338,8,12,0,Community transmission,0
2020-05-19,Cabo Verde,CPV,335,7,3,0,Clusters of cases,0
2020-05-19,Mauritius,MUS,332,0,10,0,Clusters of cases,23
2020-05-19,Madagascar,MDG,326,4,2,1,Clusters of cases,0
2020-05-19,Rwanda,RWA,308,11,0,0,Sporadic cases,0
2020-05-19,South Sudan,SSD,282,0,4,0,Clusters of cases,2
2020-05-19,Uganda,UGA,260,0,0,0,Sporadic cases,1
2020-05-19,Liberia,LBR,233,4,23,1,Community transmission,0
2020-05-19,Eswatini,SWZ,208,3,2,0,Clusters of cases,0
2020-05-19,Sao Tome and Principe,STP,165,0,7,0,Clusters of cases,1
2020-05-19,Mozambique,MOZ,146,1,0,0,Clusters of cases,0
2020-05-19,Mauritania,MRT,131,50,4,0,Sporadic cases,0
2020-05-19,Benin,BEN,130,1,2,0,Community transmission,0
2020-05-19,Malawi,MWI,71,1,3,0,Clusters of cases,0
2020-05-19,Angola,AGO,52,2,3,1,Clusters of cases,0
2020-05-19,Zimbabwe,ZWE,46,0,4,0,Sporadic cases,1
2020-05-19,Burundi,BDI,42,0,1,0,Clusters of cases,2
2020-05-19,Eritrea,ERI,39,0,0,0,Sporadic cases,31
2020-05-19,Comoros,COM,34,23,1,0,Community transmission,0
2020-05-19,Botswana,BWA,25,0,1,0,Clusters of cases,3
2020-05-19,Gambia,GMB,24,0,1,0,Sporadic cases,2
2020-05-19,Namibia,NAM,16,0,0,0,Sporadic cases,44
2020-05-19,Seychelles,SYC,11,0,0,0,Clusters of cases,43
2020-05-19,Lesotho,LSO,1,0,0,0,Pending,6
2020-05-19,Mayotte,MYT,1419,49,19,1,Clusters of cases,0
2020-05-19,Reunion,REU,446,0,0,0,Clusters of cases,1
2020-05-19,United States of America,USA,1477459,0,89271,0,Community transmission,1
2020-05-19,Brazil,BRA,254220,13140,16792,674,Community transmission,0
2020-05-19,Peru,PER,94933,2660,2789,141,Community transmission,0
2020-05-19,Canada,CAN,78499,1193,5857,52,Community transmission,0
2020-05-19,Mexico,MEX,51633,2414,5332,155,Community transmission,0
2020-05-19,Chile,CHL,46059,0,478,0,Community transmission,1
2020-05-19,Ecuador,ECU,34151,969,2839,103,Community transmission,0
2020-05-19,Colombia,COL,16295,721,592,18,Community transmission,0
2020-05-19,Dominican Republic,DOM,13223,498,441,7,Community transmission,0
2020-05-19,Panama,PAN,9726,120,279,4,Community transmission,0
2020-05-19,Argentina,ARG,8371,303,382,9,Community transmission,0
